Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends,city,geometry,index_right,gml_id,Gemeinde_name,Gemeinde_schluessel,Land_name,Land_schluessel,Schluessel_gesamt
20128,202.6266416510319,Entire home/apt,0,0,4,0,1,0,8,83,2,0.4277256826575495,0.3045013142895341,417.1304845677278,13.75832641561142,1236.027084056329,69.46799106641353,-9.14433,38.71351,1,Lisbon,POINT (-9.14433 38.71351),,,,,,,
20129,385.3189493433396,Entire home/apt,0,0,5,0,1,0,9,85,2,3.764282390083505,0.4409005574504229,89.69843756488712,2.958547573589486,205.7198946603396,11.56200215091462,-9.168,38.738,1,Lisbon,POINT (-9.168 38.738),,,,,,,
20131,216.4634146341463,Entire home/apt,0,0,3,0,0,0,10,93,0,0.4583760962469106,0.4437516651363244,378.738852322058,12.49204493390332,1429.122418080991,80.32045952120677,-9.14489,38.71209,1,Lisbon,POINT (-9.14489 38.71209),,,,,,,
20132,280.9568480300188,Entire home/apt,0,0,4,0,0,0,9,87,2,0.5395220125935556,0.4936233015158687,339.7703333616774,11.20673584328276,1156.267839159549,64.98531056254451,-9.14563,38.71113,1,Lisbon,POINT (-9.14563 38.71113),,,,,,,
20133,269.6998123827392,Entire home/apt,0,0,3,0,0,1,10,91,1,1.353468652127067,0.3350341433209641,160.666726958553,5.29931365700695,497.7073329676701,27.97246840807167,-9.15379,38.71744,1,Lisbon,POINT (-9.15379 38.71744),,,,,,,
20134,377.1106941838649,Entire home/apt,0,0,4,0,0,1,10,97,1,0.2958795313914663,0.3061505229100553,512.2463383083358,16.89555807687198,1619.906855729581,91.04304948799668,-9.143,38.712,1,Lisbon,POINT (-9.143 38.712),,,,,,,
20135,298.5459662288931,Entire home/apt,0,0,3,0,0,1,9,91,1,0.3803555673636013,0.3839033688442327,399.4489046159529,13.175130131666,1618.651532257845,90.9724969889092,-9.144,38.71221,1,Lisbon,POINT (-9.144 38.71221),,,,,,,
20136,223.2645403377111,Entire home/apt,0,0,4,0,0,1,9,76,1,0.4873793722034087,0.4196259047335596,412.2888465765214,13.59863337390464,1298.383286512316,72.9725745589793,-9.14522,38.7127,1,Lisbon,POINT (-9.14522 38.7127),,,,,,,
20137,121.4821763602251,Entire home/apt,0,0,3,0,0,0,9,91,1,3.523900349335786,0.5539981725207271,92.0844176526182,3.037244993420051,224.1199552652045,12.59613421987013,-9.16573,38.73667,1,Lisbon,POINT (-9.16573 38.73667),,,,,,,
20138,239.4465290806754,Entire home/apt,0,0,2,0,0,1,9,92,0,0.2746432625505096,0.2654396366485871,459.9501280754502,15.17065817791326,1178.332342234425,66.22539398972974,-9.137,38.711,1,Lisbon,POINT (-9.137 38.711),,,,,,,
20139,239.4465290806754,Entire home/apt,0,0,2,0,0,1,9,93,0,0.2746477439526465,0.2654531268938069,459.950569656714,15.17067274270627,1178.340972987421,66.22587906087402,-9.137,38.711,1,Lisbon,POINT (-9.137 38.711),,,,,,,
20140,308.8649155722326,Entire home/apt,0,0,5,0,1,0,10,90,2,0.1642595666609991,0.1032155887305578,444.9541027877185,14.67604026222871,1212.356446123737,68.13763861245174,-9.13895,38.71099,1,Lisbon,POINT (-9.13895 38.71099),,,,,,,
20141,144.6998123827392,Private room,0,1,2,0,0,1,9,91,1,1.882862575410896,0.2665313621313682,129.7633101514629,4.280017989296997,385.3224735098451,21.65614208033844,-9.15741,38.72206,1,Lisbon,POINT (-9.15741 38.72206),,,,,,,
